Name,Buy,Sell,Color 1,Color 2,Size,Source,Museum,Version,Interact,Catalog,Filename,Internal ID,Unique Entry ID
brachio tail,-1,5500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilBrachiosaurusD,4691,RTtavecsrgWSGLm7C
coprolite,-1,1100,Brown,Brown,1x1,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilCoprolite,296,hKbRzACFb4D24W8HJ
deinony tail,-1,2500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDeinonychusB,211,e3NuAF5y9iv7J52Sv
deinony torso,-1,3000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDeinonychusA,210,NSe8AQvNigyZqmLzo
dimetrodon skull,-1,5500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDimetrodonA,184,sEuSt7ycajTAqSzKg
dimetrodon torso,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDimetrodonB,185,LcbJqY3JzLcQRoPGT
dinosaur track,-1,1000,Beige,Brown,1x1,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilIchnology,300,fJWu7dHhZuKxjRwTy
diplo chest,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDiplodocusC,218,ZYuR9spddLgaZawiY
diplo neck,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDiplodocusB,217,odxoEbLSduTmarKkm
diplo pelvis,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDiplodocusD,219,kLYuD5QgNqfKJPfj7
diplo skull,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDiplodocusA,216,n6cAybPhTSykws3Mb
diplo tail,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDiplodocusE,220,iKsrdn2aAxSfe83qZ
diplo tail tip,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilDiplodocusF,7251,a2r3s8t7bg4uZvdSy
dunkleosteus,-1,3500,Gray,Brown,2x2,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilDunkleosteus,4660,AtCoTAfo9bKFiGzFD
eusthenopteron,-1,2000,Brown,Brown,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilFirstAmphibian,4663,BHhdGwq7YeZuHmkEW
iguanodon skull,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilIguanodonA,188,pDn2iASHjo7yWKE3k
iguanodon tail,-1,3000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilIguanodonC,190,GL2CuJXa4gYb4E4cE
iguanodon torso,-1,3500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilIguanodonB,189,dJRCXccvviu6chWyK
juramaia,-1,1500,Beige,Brown,1x1,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilFirstMammal,4665,Ch68dGRXX2mu7ABgC
left megalo side,-1,4000,Beige,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilMegalocerosB,4659,7YzSLZWsjXQNp5xRY
left ptera wing,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilPteranodonC,208,GJtNP9DjAFjGQdMPN
left quetzal wing,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilQuetzalcoatlusC,4699,rS4iizyMDxN4yizLT
mammoth skull,-1,3000,Beige,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilMammothA,195,96CTubnHfYqmHyd3s
mammoth torso,-1,2500,Beige,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilMammothB,196,hT68CXm4z8LreXqWS
megacero skull,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilBrontotheriumA,180,8CF9fvWstP6cWRbRD
megacero tail,-1,3000,Brown,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilBrontotheriumC,182,NQcfdw5y6fokTPNGs
megacero torso,-1,3500,Brown,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilBrontotheriumB,181,NcbHKXp9gq6Y96Wtw
myllokunmingia,-1,1500,Gray,Gray,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilFirstFish,4662,XjLHtDMYXqwjZd4wT
ophthalmo skull,-1,2500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilOphthalmosaurusA,192,Sq6yQQ6EH2AMqQo2A
ophthalmo torso,-1,2000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilOphthalmosaurusB,193,8tzwNNwbSKAeWAzfP
pachy skull,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,Yes,Not for sale,FtrFossilPachycephalosaurusA,198,tgNyyjMaE9GbzMJzQ
pachy tail,-1,3500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilPachycephalosaurusB,199,assKMf95bhB6pe3PM
parasaur skull,-1,3500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilParasaurolophusA,202,6xAZRPKhHNNQLofoE
parasaur tail,-1,2500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilParasaurolophusC,204,fEFd7AbLQpNwkzC8a
parasaur torso,-1,3000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilParasaurolophusB,203,GgX3Tdgzmf4hjguGF
plesio body,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilElasmosaurusB,235,jbfiPhmAcserk23rm
plesio skull,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilElasmosaurusA,234,ioAEHvPecRoCBLJsK
plesio tail,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilElasmosaurusC,236,7dLqS33KYzWRFvkde
ptera body,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilPteranodonA,206,6oAjXjSy7DqrbifKT
quetzal torso,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilQuetzalcoatlusA,4697,SoS8Q55cyTsEyqeZi
right megalo side,-1,5500,Beige,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilMegalocerosA,4658,6qFWqu3vKF9SuPjRE
right ptera wing,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilPteranodonB,207,z45jBDDaRufwQkiEf
right quetzal wing,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilQuetzalcoatlusB,4698,aAXrsXuY5cTjq4yKi
sabertooth skull,-1,2500,Brown,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilSmilodonA,213,4xkrLpphWXubgtRPw
sabertooth tail,-1,2000,Brown,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilSmilodonB,214,iXfTo3dxakDrLZxnv
shark-tooth pattern,-1,1000,Beige,Brown,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilShark,302,yKE5xwKL9EeCJdN4D
spino skull,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,Yes,Not for sale,FtrFossilSpinosaurusA,222,qbzMLGPcJWikeTWAG
spino tail,-1,2500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilSpinosaurusC,224,7gnFZgeb6qq6K34Tb
spino torso,-1,3000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilSpinosaurusB,223,Ap8LgQD6Ht4dryTjk
stego skull,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilStegosaurusA,226,DqsxWDoY5Mue6eQxg
stego tail,-1,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilStegosaurusC,228,DQgfeZCeApGKBazBL
stego torso,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilStegosaurusB,227,Lv7ChzGsofd3qEjDL
T. rex skull,-1,6000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,Yes,Not for sale,FtrFossilTRexA,238,9DunYGEb3QhJLwpPu
T. rex tail,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilTRexC,240,AfeJAEkmJCdgtMrWj
T. rex torso,-1,5500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilTRexB,239,q9voJCHs9X5b32TWf
tricera skull,-1,5500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,Yes,Not for sale,FtrFossilTriceratopsA,242,ueCYTncJDsf2RYJYx
tricera tail,-1,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilTriceratopsC,244,TXbdqeAkhjtqBJAWC
tricera torso,-1,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilTriceratopsB,243,s2EGQuuStMSwFdT8y
trilobite,-1,1300,Beige,Brown,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilTrilobite,303,qFoqCvDTBd2oyC5Gz
